Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,TN,TX,TAVG,RR,FF_AVG,Confidence_encoded
Kalimantan Barat,KUBU RAYA,Terentang,Betuah,05/08/2023,13:16 WIB,NASA-MODIS,medium,"0,00000",30799.0,24.4,34.4,28.2,0.0,2.0,0
Kalimantan Tengah,KOTAWARINGIN TIMUR,Mentaya Hilir Selatan,Sebamban,27/08/2023,01:32 WIB,NASA-MODIS,medium,"-2,00000",92856.0,23.2,34.5,28.5,0.0,2.0,0
Kalimantan Barat,SINTANG,Kayan Hulu,Nanga Ungai,03/08/2023,13:37 WIB,NASA-NOAA20,medium,-0.09473,1120955.0,,,22.2,33.6,27.2,0
Kalimantan Barat,KETAPANG,Marau,Karya Baru,29/07/2023,13:16 WIB,NASA-MODIS,medium,"-2,00000",19967.0,23.7,33.6,28.3,0.0,4.0,0
Kalimantan Barat,KETAPANG,Hulu Sungai,Beginci Darat,20/08/2023,13:18 WIB,NASA-NOAA20,medium,"-1,00000",21744.0,24.6,33.8,28.6,0.0,4.0,0
Kalimantan Barat,KETAPANG,Sungai Laur,Bayun Sari,28/08/2023,12:57 WIB,NASA-MODIS,medium,"-1,00000",1842.0,24.2,33.8,28.3,0.0,4.0,0
Kalimantan Tengah,KOTA PALANGKARAYA,Jekan Raya,Kelurahan Petuk Katimpun,29/08/2023,21:50 WIB,NASA-MODIS,medium,"-2,00000",14331.0,22.5,35.0,28.0,0.0,3.0,0
Kalimantan Barat,MELAWI,Ella Hilir,Jabai,05/08/2023,13:16 WIB,NASA-MODIS,medium,-0.69275,11198358.0,,,23.6,35.0,28.9,0
Kalimantan Barat,KETAPANG,Manis Mata,Pakit Selaba,31/07/2023,13:01 WIB,NASA-MODIS,medium,"-2,00000",22545.0,23.6,34.2,28.6,0.0,4.0,0
Kalimantan Timur,BERAU,Kelay,Long Lamcin,21/08/2023,12:59 WIB,NASA-MODIS,medium,"1,00000",92221.0,24.0,34.9,27.6,27.4,1.0,0
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,14/08/2023,13:31 WIB,NASA-NOAA20,medium,"-1,00000",89388.0,23.3,33.0,27.4,0.0,3.0,0
Kalimantan Timur,BERAU,Kelay,Long Pelay,04/08/2023,12:33 WIB,NASA-MODIS,medium,"1,00000",9102.0,24.6,35.6,28.6,0.0,1.0,0
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,16/08/2023,12:55 WIB,NASA-NOAA20,medium,"-1,00000",20068.0,23.9,33.4,27.9,0.0,3.0,0
Kalimantan Barat,KETAPANG,Sandai,Sandai,30/07/2023,13:12 WIB,NASA-NOAA20,medium,"-1,00000",26432.0,23.0,33.8,28.2,0.0,4.0,0
Kalimantan Barat,KUBU RAYA,Terentang,Teluk Empening,14/08/2023,00:52 WIB,NASA-NOAA20,medium,-0.39583,10960375.0,,,22.7,33.4,26.6,0
Kalimantan Timur,BERAU,Pulau Derawan,Teluk Semanting,29/07/2023,13:16 WIB,NASA-MODIS,medium,"2,00000",3192.0,22.4,34.0,27.6,0.0,2.0,0
Kalimantan Barat,KETAPANG,Muara Pawan,Tempurukan,20/08/2023,09:58 WIB,NASA-MODIS,medium,"-1,00000",64321.0,24.6,33.8,28.6,0.0,4.0,0
Kalimantan Barat,KETAPANG,Sungai Laur,Sinar Kuri,30/07/2023,13:12 WIB,NASA-NOAA20,medium,"0,00000",90446.0,23.0,33.8,28.2,0.0,4.0,0
Kalimantan Barat,KETAPANG,Sungai Laur,Lanjut Mekar Sari,16/08/2023,12:53 WIB,NASA-NOAA20,medium,"0,00000",9565.0,23.9,33.4,27.9,0.0,3.0,0
Kalimantan Timur,BERAU,Sambaliung,Pegat Bukur,21/08/2023,12:59 WIB,NASA-NOAA20,medium,"2,00000",4869.0,24.0,34.9,27.6,27.4,1.0,0
Kalimantan Barat,KETAPANG,Simpang Hulu,Paoh Concong,21/08/2023,00:20 WIB,NASA-NOAA20,medium,"0,00000",70622.0,24.3,33.8,28.6,0.0,4.0,0
Kalimantan Barat,MELAWI,Pinoh Selatan,Bina Jaya,14/08/2023,13:31 WIB,NASA-NOAA20,medium,-0.48854,11193558.0,,,23.7,32.2,27.5,0
Kalimantan Barat,KETAPANG,Sandai,Merimbang Jaya,30/08/2023,13:31 WIB,NASA-NOAA20,medium,"-1,00000",10117.0,24.0,33.8,28.0,0.0,4.0,0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Tengah,18/07/2023,13:37 WIB,NASA-NOAA20,medium,"0,00000",44747.0,24.8,34.2,28.9,0.0,3.0,0
