Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,TN,TX,TAVG,RR,FF_AVG
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Nanjung,2023-07-24 00:00:00,21:52 WIB,NASA-MODIS,High,24.8,32.8,28.3,0.0,3.0
Kalimantan Barat,KETAPANG,Muara Pawan,Tanjung Pasar,2023-08-29 00:00:00,13:50 WIB,NASA-NOAA20,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,SINTANG,Kayan Hilir,Sungai Buaya,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Utara,NUNUKAN,Krayan Tengah,Long Padi,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,25.4,32.3,28.0,0.0,2.0
Kalimantan Barat,SINTANG,Ketungau Hilir,Batu Nyadi,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,2023-08-29 00:00:00,13:50 WIB,NASA-NOAA20,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,SINTANG,Sepauk,Nanga Libau,2023-08-24 00:00:00,13:25 WIB,NASA-MODIS,High,23.6,34.5,28.1,0.1,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Tengah,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Ganjang,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.7,35.2,29.2,0.0,1.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,2023-08-13 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KUBU RAYA,Kubu,Dabong,2023-08-17 00:00:00,12:36 WIB,NASA-NOAA20,High,23.5,33.6,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,2023-07-28 00:00:00,13:50 WIB,NASA-NOAA20,High,23.3,33.4,27.8,0.0,4.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Pelang,2023-08-17 00:00:00,09:32 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,KETAPANG,Kendawangan,Sungai Jelayan,2023-08-08 00:00:00,13:44 WIB,NASA-NOAA20,High,24.4,34.0,28.7,8888.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hilir,Nanga Merkak,2023-08-10 00:00:00,13:29 WIB,NASA-MODIS,High,23.4,34.6,27.6,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Paoh Concong,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,24.9,34.2,28.4,0.0,3.0
Kalimantan Barat,KUBU RAYA,Batu Ampar,Teluknibung,2023-07-27 00:00:00,12:27 WIB,NASA-NOAA20,High,23.6,34.0,27.5,0.0,4.0
Kalimantan Barat,MELAWI,Menukung,Sungai Sampuk,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,24.4,34.5,29.0,0.0,1.0
Kalimantan Utara,NUNUKAN,Krayan Tengah,Long Mutan,2023-07-29 00:00:00,11:51 WIB,NASA-NOAA20,High,24.9,32.4,28.2,0.0,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Merabu Jaya,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Sungai Kelik,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,SINTANG,Tempunak,Kuala Tiga,2023-07-28 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,32.2,27.4,0.0,2.0
Kalimantan Barat,SINTANG,Tempunak,Riam Batu,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,22.4,33.4,27.6,0.0,2.0
Kalimantan Barat,SINTANG,Ambalau,Jengkarang,2023-08-14 00:00:00,12:59 WIB,NASA-MODIS,High,22.2,32.4,26.2,0.0,1.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Nanga Tayap,2023-08-03 00:00:00,13:29 WIB,NASA-MODIS,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,KETAPANG,Sandai,Merimbang Jaya,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Sungai Kelik,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,22.4,33.4,27.6,0.0,2.0
Kalimantan Barat,KETAPANG,Kendawangan,Mekar Utama,2023-08-20 00:00:00,13:54 WIB,NASA-MODIS,High,24.6,33.8,28.6,0.0,4.0
Kalimantan Barat,MELAWI,Ella Hilir,Kerangan Kora,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.7,35.2,29.2,0.0,1.0
Kalimantan Barat,SAMBAS,Paloh,Malek,2023-08-29 00:00:00,21:52 WIB,NASA-MODIS,High,24.7,35.6,29.0,0.0,2.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Pelang,2023-08-15 00:00:00,09:49 WIB,NASA-MODIS,High,23.0,33.4,27.7,0.0,4.0
Kalimantan Utara,BULUNGAN,Tanjung Palas,Kelurahan Tanjung Palas Hilir,2023-08-31 00:00:00,13:14 WIB,NASA-NOAA20,High,24.2,35.4,28.8,12.9,2.0
Kalimantan Barat,SINTANG,Kelam Permai,Sungai Labi,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,SINTANG,Serawai,Nanga Bihe,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Sekucing Labai,2023-06-24 00:00:00,13:22 WIB,NASA-MODIS,High,24.2,32.6,28.3,0.0,2.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Sekukun,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,SINTANG,Serawai,Teluk Harapan,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,23.2,33.5,26.9,0.2,1.0
Kalimantan Barat,SAMBAS,Paloh,Mentibar,2023-06-27 00:00:00,01:28 WIB,NASA-MODIS,High,23.6,33.9,28.6,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Sejawak,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Besar,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Merawa,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Laur,Harapan Baru,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,SINTANG,Serawai,Mensulung Bio,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.0,34.2,27.0,0.0,1.0
Kalimantan Barat,KETAPANG,Sungai Laur,Sepotong,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,KETAPANG,Sandai,Randau,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,KETAPANG,Marau,Runjai Jaya,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,KETAPANG,Simpang Dua,Mekar Raya,2023-08-29 00:00:00,13:50 WIB,NASA-NOAA20,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaibulan,2023-07-16 00:00:00,12:36 WIB,NASA-NOAA20,High,24.2,32.8,27.9,0.0,3.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Pelang,2023-08-21 00:00:00,12:59 WIB,NASA-MODIS,High,24.3,33.8,28.6,0.0,4.0
Kalimantan Barat,SINTANG,Kayan Hulu,Tapang Manua,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,23.2,33.8,27.3,0.0,1.0
Kalimantan Barat,KUBU RAYA,Rasau Jaya,Rasau Jaya Umum,2023-08-01 00:00:00,12:36 WIB,NASA-NOAA20,High,23.2,34.2,27.4,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang,2023-07-27 00:00:00,12:27 WIB,NASA-NOAA20,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Air Upas,Harapan Baru,2023-08-13 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Laur,Teluk Mutiara,2023-08-21 00:00:00,12:59 WIB,NASA-MODIS,High,24.3,33.8,28.6,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,2023-08-15 00:00:00,13:42 WIB,NASA-MODIS,High,23.0,33.4,27.7,0.0,4.0
Kalimantan Barat,KETAPANG,Sungai Laur,Bayun Sari,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,2023-08-10 00:00:00,01:09 WIB,NASA-MODIS,High,23.8,33.3,27.9,0.0,4.0
Kalimantan Barat,KETAPANG,Sungai Laur,Bayun Sari,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Besar,2023-08-17 00:00:00,21:52 WIB,NASA-MODIS,High,23.5,33.6,27.1,0.0,2.0
Kalimantan Barat,SINTANG,Sepauk,Nanga Pari,2023-07-01 00:00:00,13:22 WIB,NASA-MODIS,High,25.1,32.8,28.3,0.0,1.0
Kalimantan Barat,KETAPANG,Sungai Laur,Selangkut Raya,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,MELAWI,Ella Hilir,Kerangan Kora,2023-07-31 00:00:00,13:01 WIB,NASA-MODIS,High,22.7,34.2,27.9,0.0,1.0
Kalimantan Barat,SINTANG,Serawai,Gurung Senghiang,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,SINTANG,Ambalau,Nanga Ukai,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,MELAWI,Belimbing,Balai Lagas,2023-08-07 00:00:00,13:01 WIB,NASA-MODIS,High,22.6,34.0,27.5,0.2,2.0
Kalimantan Barat,KETAPANG,Marau,Pelanjau Jaya,2023-08-03 00:00:00,13:29 WIB,NASA-MODIS,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,MELAWI,Ella Hilir,Nanga Nuak,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,23.6,33.2,28.2,0.0,2.0
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Kecil,2023-08-13 00:00:00,10:04 WIB,NASA-MODIS,High,21.8,34.6,26.6,0.0,2.0
Kalimantan Barat,SINTANG,Ambalau,Nanga Menantak,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Aur Gading,2023-08-29 00:00:00,13:50 WIB,NASA-NOAA20,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Sekukun,2023-07-01 00:00:00,13:22 WIB,NASA-MODIS,High,25.0,34.3,28.2,0.0,3.0
Kalimantan Barat,SAMBAS,Paloh,Mentibar,2023-06-26 00:00:00,13:52 WIB,NASA-NOAA20,High,24.2,32.4,28.1,8888.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Laur,Teluk Mutiara,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,KETAPANG,Sandai,Demit,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,SINTANG,Sepauk,Landau Panjang,2023-07-18 00:00:00,13:37 WIB,NASA-NOAA20,High,22.6,33.8,28.0,0.0,2.0
Kalimantan Barat,SINTANG,Kayan Hulu,Buluh Merindu,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,MELAWI,Belimbing Hulu,Nanga Tikan,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,24.4,34.5,29.0,0.0,1.0
Kalimantan Barat,KETAPANG,Sandai,Sandai,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Batu Lapis,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KETAPANG,Kendawangan,Danau Buntar,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Semareh,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,SINTANG,Sepauk,Limau Bakti,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Periangan,2023-08-29 00:00:00,13:37 WIB,NASA-MODIS,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,2023-08-28 00:00:00,12:27 WIB,NASA-NOAA20,High,24.2,33.8,28.3,0.0,4.0
Kalimantan Barat,SAMBAS,Selakau Timur,Selakau Tua,2023-08-20 00:00:00,13:20 WIB,NASA-NOAA20,High,24.6,33.6,27.7,0.0,1.0
Kalimantan Barat,SINTANG,Kayan Hilir,Sungai Sintang,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Barat,SINTANG,Ambalau,Nanga Rade,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Manis Mata,Kemuning,2023-08-10 00:00:00,13:29 WIB,NASA-MODIS,High,23.8,33.3,27.9,0.0,4.0
Kalimantan Barat,SINTANG,Serawai,Mensulung Bio,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Dua,Batu Daya,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Timur,BERAU,Segah,Siduung Indah,2023-08-20 00:00:00,13:20 WIB,NASA-NOAA20,High,23.5,34.3,27.7,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Kayu Dujung,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,SAMBAS,Paloh,Mentibar,2023-06-25 00:00:00,21:48 WIB,NASA-MODIS,High,23.9,33.4,28.0,10.1,1.0
Kalimantan Barat,SINTANG,Kayan Hulu,Lintak Tambuk,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,MELAWI,Menukung,Laman Mumbung,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.7,35.2,29.2,0.0,1.0
Kalimantan Timur,BERAU,Sambaliung,Long Lanuk,2023-08-07 00:00:00,13:01 WIB,NASA-MODIS,High,25.0,35.1,28.7,8888.0,2.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Limbung,2023-08-21 00:00:00,12:59 WIB,NASA-NOAA20,High,24.1,34.4,27.2,0.0,3.0
Kalimantan Barat,MELAWI,Belimbing Hulu,Piawas,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,23.6,33.2,28.2,0.0,2.0
Kalimantan Barat,SAMBAS,Jawai,Sarang Burung Danau,2023-07-30 00:00:00,13:59 WIB,NASA-MODIS,High,23.2,33.0,27.6,0.0,1.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Kesuma Jaya,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Beginci Darat,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,SINTANG,Kayan Hilir,Jambu,2023-07-18 00:00:00,13:37 WIB,NASA-NOAA20,High,22.6,33.8,28.0,0.0,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Bayun Sari,2023-08-15 00:00:00,13:12 WIB,NASA-NOAA20,High,23.0,33.4,27.7,0.0,4.0
Kalimantan Barat,SINTANG,Kayan Hulu,Landau Bara,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.2,33.6,27.2,27.4,0.0
Kalimantan Barat,KAPUAS HULU,Silat Hulu,Belimbing,2023-07-17 00:00:00,13:05 WIB,NASA-MODIS,High,23.6,34.5,28.6,0.4,1.0
Kalimantan Barat,MELAWI,Pinoh Utara,Manding,2023-06-03 00:00:00,13:25 WIB,NASA-MODIS,High,26.0,33.5,30.6,0.0,1.0
Kalimantan Barat,KETAPANG,Sungai Laur,Harapan Baru,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Sumber Sari,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,SINTANG,Serawai,Limbur Bernaung Lestari,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.0,34.2,27.0,0.0,1.0
Kalimantan Barat,SINTANG,Ambalau,Nanga Ambalau,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Kubu Berangan,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Embaleh,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,SINTANG,Serawai,Nanga Tekungai,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,MELAWI,Sayan,Nanga Raku,2023-08-24 00:00:00,13:25 WIB,NASA-MODIS,High,24.8,35.2,28.7,0.2,2.0
Kalimantan Barat,SINTANG,Kayan Hulu,Empakan,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,23.2,33.5,26.9,0.2,1.0
Kalimantan Barat,SINTANG,Kayan Hulu,Nanga Ungai,2023-08-19 00:00:00,13:14 WIB,NASA-MODIS,High,23.2,33.5,26.9,0.2,1.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Empunak Tapang Keladan,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Jasa,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Serengkah Kanan,2023-08-08 00:00:00,13:44 WIB,NASA-MODIS,High,24.4,34.0,28.7,8888.0,3.0
Kalimantan Barat,KETAPANG,Sungai Laur,Teluk Bayur,2023-08-15 00:00:00,09:49 WIB,NASA-MODIS,High,23.0,33.4,27.7,0.0,4.0
Kalimantan Barat,SINTANG,Ambalau,Purut Beribit,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,KETAPANG,Kendawangan,Bangkal Serai,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,MELAWI,Sayan,Nanga Kompi,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.7,35.2,29.2,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Timur,BERAU,Pulau Derawan,Teluk Semanting,2023-08-30 00:00:00,12:42 WIB,NASA-MODIS,High,24.0,36.2,29.2,0.0,2.0
Kalimantan Barat,SINTANG,Serawai,Nanga Segulang,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Barat,KETAPANG,Sungai Laur,Mekar Harapan,2023-08-29 00:00:00,13:40 WIB,NASA-MODIS,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Batu Beransak,2023-08-28 00:00:00,12:27 WIB,NASA-NOAA20,High,24.2,33.8,28.3,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Tengah,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Sungai Seria,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Melayu Rayak,Jairan Jaya,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Kiri,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,SINTANG,Serawai,Nanga Segulang,2023-08-03 00:00:00,13:29 WIB,NASA-MODIS,High,22.2,33.6,27.2,27.4,0.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Nanga Kelapan,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Kendawangan,Seriam,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hilir,Bukit Sidin Permai,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Sandai,Muara Jekak,2023-08-24 00:00:00,13:25 WIB,NASA-MODIS,High,24.9,34.0,28.7,4.3,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Merawa,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,24.9,34.2,28.4,0.0,3.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaiasam,2023-08-14 00:00:00,21:27 WIB,NASA-MODIS,High,22.7,33.4,26.6,0.0,2.0
Kalimantan Barat,KETAPANG,Sandai,Muara Jekak,2023-08-29 00:00:00,13:40 WIB,NASA-MODIS,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,SAMBAS,Paloh,Temajuk,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.4,34.5,28.7,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Labai Hilir,2023-08-13 00:00:00,13:57 WIB,NASA-MODIS,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,SINTANG,Serawai,Nanga Tangoi,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Sandai,Sandai Kiri,2023-08-13 00:00:00,13:57 WIB,NASA-MODIS,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,MELAWI,Sokan,Landau Kabu,2023-07-31 00:00:00,13:01 WIB,NASA-MODIS,High,22.7,34.2,27.9,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Sekucing Labai,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Hilir,Bukit Sidin Permai,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,23.2,33.8,27.3,0.0,1.0
Kalimantan Barat,MELAWI,Belimbing,Nanga Pau,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,23.0,34.0,27.5,6.7,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Harapan Baru,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,KETAPANG,Sandai,Randau,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,MELAWI,Sayan,Nanga Sayan,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,23.0,34.0,27.5,6.7,2.0
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Harapan Jaya,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,23.0,34.0,27.5,6.7,2.0
Kalimantan Barat,KETAPANG,Muara Pawan,Tempurukan,2023-08-20 00:00:00,09:58 WIB,NASA-MODIS,High,24.6,33.8,28.6,0.0,4.0
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Kecil,2023-08-19 00:00:00,21:35 WIB,NASA-MODIS,High,24.0,34.4,27.4,3.4,2.0
Kalimantan Barat,SINTANG,Kayan Hilir,Sungai Sintang,2023-07-18 00:00:00,13:37 WIB,NASA-NOAA20,High,22.6,33.8,28.0,0.0,2.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,2023-08-10 00:00:00,13:29 WIB,NASA-MODIS,High,23.8,33.3,27.9,0.0,4.0
Kalimantan Barat,SINTANG,Sepauk,Bernayau,2023-08-01 00:00:00,13:44 WIB,NASA-MODIS,High,23.2,34.2,28.3,0.0,1.0
Kalimantan Utara,BULUNGAN,Tanjung Palas Barat,Long Pari,2023-08-31 00:00:00,13:14 WIB,NASA-NOAA20,High,24.2,35.4,28.8,12.9,2.0
