Provinsi;Kab Kota;Kecamatan;Desa;Tanggal;Waktu;Satelit;Confidence;Latitude;Longitude;TN;TX;TAVG;RR;FF_AVG;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;19/08/2023;13:12 WIB;NASA-MODIS;Medium;0,00000;86106;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;21/08/2023;12:59 WIB;NASA-MODIS;Medium;0,00000;76928;24.3;33.8;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;31/08/2023;13:25 WIB;NASA-MODIS;Medium;0,00000;86189;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Lubuk Kakap;12/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;30452;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Lubuk Kakap;14/08/2023;12:59 WIB;NASA-MODIS;Medium;-1,00000;27949;23.3;33.0;27.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Menyumbung;12/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;4406;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Menyumbung;15/08/2023;13:42 WIB;NASA-MODIS;Medium;-1,00000;1727;23.0;33.4;27.7;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Menyumbung;19/08/2023;13:12 WIB;NASA-MODIS;Medium;-1,00000;2079;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Menyumbung;24/07/2023;13:03 WIB;NASA-MODIS;Medium;-1,00000;4627;24.8;32.8;28.3;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Menyumbung;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;5449;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Riam Dadap;10/08/2023;13:29 WIB;NASA-MODIS;Medium;-1,00000;16053;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Riam Dadap;17/08/2023;13:27 WIB;NASA-MODIS;Medium;-1,00000;14529;24.4;33.8;28.0;0.0;3.0;;;
