Provinsi;Kab Kota;Kecamatan;Desa;Tanggal;Waktu;Satelit;Confidence;Latitude;Longitude;Pulau;Kab Kota Normalized;TN;TX;TAVG;RR;FF_AVG
Kalimantan Barat;KETAPANG;Simpang Hulu;Kenanga;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.67209;1105303.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;MELAWI;Ella Hilir;Kerangan Kora;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.67237;11207578.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Kualan Tengah;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.35477;11046086.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Kubu Berangan;29/07/2023;13:16 WIB;NASA-MODIS;High;0.76601;11133135.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;MELAWI;Tanah Pinoh Barat;Laja;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.70346;11142978.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;MELAWI;Sayan;Landau Sandak;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.82657;11167587.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Legong;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.58481;11050089.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;SINTANG;Kayan Hilir;Lengkong Bindu;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.09667;11198184.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Sepauk;Limau Bakti;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.29595;11109617.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Margahayu;29/07/2023;13:16 WIB;NASA-MODIS;High;0.78614;11133845.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Kayan Hilir;Melingkat;29/07/2023;13:16 WIB;NASA-MODIS;High;0.04942;11197007.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Kayan Hulu;Merah Arai;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.23113;11225453.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;MELAWI;Sayan;Nanga Kompi;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.85582;11175227.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;SINTANG;Ambalau;Nanga Pahangan;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.29426;11305988.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Ambalau;Nanga Sakai;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.21314;11282694.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;MELAWI;Belimbing Hulu;Nanga Tikan;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.44592;11160343.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Toran;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.06632;11205653.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Ungai;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.08835;11209792.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;MELAWI;Menukung;Nusa Poring;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.5081;11233947.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;KETAPANG;Manis Mata;Pakit Selaba;29/07/2023;13:16 WIB;NASA-MODIS;High;-221608.0;11102647.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;SINTANG;Ketungau Hilir;Pampang Dua;29/07/2023;13:31 WIB;NASA-NOAA20;High;0.6121;11154097.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;KETAPANG;Sandai;Randau;29/07/2023;13:16 WIB;NASA-MODIS;High;-0.96353;11056817.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;KETAPANG;Hulu Sungai;Sekukun;29/07/2023;13:16 WIB;NASA-MODIS;High;-126543.0;11081802.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;SINTANG;Ketungau Hilir;Senibung;29/07/2023;13:16 WIB;NASA-MODIS;High;0.57649;11146656.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;KETAPANG;Nanga Tayap;Simpang Tiga Sembelangaan;29/07/2023;13:16 WIB;NASA-MODIS;High;-148146.0;11037873.0;Kalimantan;ketapang;23.7;33.6;28.3;0.0;4.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Sumber Sari;29/07/2023;13:16 WIB;NASA-MODIS;High;0.76746;1113412.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;SINTANG;Ketungau Hulu;Sungai Seria;29/07/2023;13:16 WIB;NASA-MODIS;High;0.87639;11082999.0;Kalimantan;sintang;21.3;33.0;27.1;0.0;2.0
Kalimantan Barat;MELAWI;Belimbing;Tekaban;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.37707;11156744.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;MELAWI;Sayan;Tumbak Raya;29/07/2023;13:31 WIB;NASA-NOAA20;High;-0.79838;11169225.0;Kalimantan;melawi;22.5;33.8;27.0;;2.0
Kalimantan Barat;SAMBAS;Jawai;Sarang Burung Danau;30/07/2023;13:59 WIB;NASA-MODIS;High;145575.0;10912409.0;Kalimantan;sambas;23.2;33.0;27.6;0.0;1.0
Kalimantan Barat;KETAPANG;Kendawangan;Seriam;30/07/2023;13:59 WIB;NASA-MODIS;High;-258129.0;1104124.0;Kalimantan;ketapang;23.0;33.8;28.2;0.0;4.0
Kalimantan Barat;SINTANG;Kayan Hilir;Batu Netak;31/07/2023;13:03 WIB;NASA-MODIS;High;0.14144;11200936.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ambalau;Buntut Purun;31/07/2023;13:03 WIB;NASA-MODIS;High;-0.32189;11300838.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Hulu;Embaleh;31/07/2023;13:03 WIB;NASA-MODIS;High;0.78961;11129347.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Hulu;Engkeruh;31/07/2023;13:03 WIB;NASA-MODIS;High;0.93348;11104985.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Kayu Dujung;31/07/2023;13:03 WIB;NASA-MODIS;High;0.79821;11163802.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;MELAWI;Ella Hilir;Kerangan Kora;31/07/2023;13:01 WIB;NASA-MODIS;High;-0.63557;11204317.0;Kalimantan;melawi;22.7;34.2;27.9;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Kubu Berangan;31/07/2023;13:03 WIB;NASA-MODIS;High;0.80171;11129163.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;MELAWI;Sokan;Landau Kabu;31/07/2023;13:01 WIB;NASA-MODIS;High;-100363.0;11149668.0;Kalimantan;melawi;22.7;34.2;27.9;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Margahayu;31/07/2023;13:03 WIB;NASA-MODIS;High;0.79309;11135033.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SAMBAS;Tebas;Maribas;31/07/2023;21:44 WIB;NASA-MODIS;High;108251.0;10912097.0;Kalimantan;sambas;23.2;34.2;27.9;0.0;1.0
Kalimantan Barat;SINTANG;Ambalau;Nanga Ambalau;31/07/2023;13:03 WIB;NASA-MODIS;High;-0.26691;11276021.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Nanga Kelapan;31/07/2023;13:03 WIB;NASA-MODIS;High;0.90891;11139055.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ambalau;Nanga Menantak;31/07/2023;13:03 WIB;NASA-MODIS;High;-0.21845;11301512.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Toran;31/07/2023;13:03 WIB;NASA-MODIS;High;-0.08994;11208684.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ambalau;Nanga Ukai;31/07/2023;13:03 WIB;NASA-MODIS;High;-0.22431;11297503.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;KETAPANG;Manis Mata;Pakit Selaba;31/07/2023;13:01 WIB;NASA-MODIS;High;-22155.0;11100195.0;Kalimantan;ketapang;23.6;34.2;28.6;0.0;4.0
Kalimantan Barat;SINTANG;Ambalau;Pulou Sabhang;31/07/2023;13:03 WIB;NASA-MODIS;High;-0.10954;11274474.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;KUBU RAYA;Sungai Kakap;Pungur Besar;31/07/2023;21:44 WIB;NASA-MODIS;High;-0.21557;1092552.0;Kalimantan;kubu raya;22.3;33.6;27.2;0.0;2.0
Kalimantan Barat;SAMBAS;Jawai;Sarang Burung Danau;31/07/2023;13:03 WIB;NASA-MODIS;High;146165.0;10910943.0;Kalimantan;sambas;23.2;34.2;27.9;0.0;1.0
Kalimantan Utara;NUNUKAN;Sei Menggaris;Sekaduyan Taka;31/07/2023;12:55 WIB;NASA-NOAA20;Medium;415866.0;11746449.0;Kalimantan;nunukan;25.4;32.3;28.0;0.0;2.0
Kalimantan Barat;SAMBAS;Selakau Timur;Selakau Tua;31/07/2023;13:03 WIB;NASA-MODIS;High;108191.0;10911308.0;Kalimantan;sambas;23.2;34.2;27.9;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Semareh;31/07/2023;13:03 WIB;NASA-MODIS;High;0.98302;1113578.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SAMBAS;Tangaran;Semata;31/07/2023;21:44 WIB;NASA-MODIS;High;15069.0;10912009.0;Kalimantan;sambas;23.2;34.2;27.9;0.0;1.0
Kalimantan Barat;SAMBAS;Semparuk;Sepinggan;31/07/2023;21:44 WIB;NASA-MODIS;High;110101.0;10911206.0;Kalimantan;sambas;23.2;34.2;27.9;0.0;1.0
Kalimantan Barat;SAMBAS;Salatiga;Serumpun;31/07/2023;21:44 WIB;NASA-MODIS;High;108891.0;10910202.0;Kalimantan;sambas;23.2;34.2;27.9;0.0;1.0
Kalimantan Barat;SINTANG;Kayan Hilir;Sungai Garong;31/07/2023;13:03 WIB;NASA-MODIS;High;0.14912;112003.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Hulu;Sungai Kelik;31/07/2023;13:03 WIB;NASA-MODIS;High;0.95383;11119156.0;Kalimantan;sintang;21.2;34.2;27.4;0.0;1.0
Kalimantan Barat;MELAWI;Sokan;Tanjung Mahung;31/07/2023;13:01 WIB;NASA-MODIS;High;-1063.0;1114557.0;Kalimantan;melawi;22.7;34.2;27.9;0.0;1.0
Kalimantan Barat;SINTANG;Sepauk;Bernayau;01/08/2023;13:44 WIB;NASA-MODIS;High;-0.38729;11117196.0;Kalimantan;sintang;23.2;34.2;28.3;0.0;1.0
Kalimantan Barat;MELAWI;Ella Hilir;Nanga Nyuruh;01/08/2023;12:33 WIB;NASA-NOAA20;High;-0.51109;11207652.0;Kalimantan;melawi;22.4;34.6;28.9;;1.0
Kalimantan Barat;KUBU RAYA;Sungai Kakap;Pungur Kecil;01/08/2023;12:36 WIB;NASA-NOAA20;High;-0.15155;10935258.0;Kalimantan;kubu raya;23.2;34.2;27.4;0.0;2.0
Kalimantan Barat;KUBU RAYA;Rasau Jaya;Rasau Jaya Umum;01/08/2023;12:36 WIB;NASA-NOAA20;High;-0.16209;10935119.0;Kalimantan;kubu raya;23.2;34.2;27.4;0.0;2.0
Kalimantan Barat;SAMBAS;Jawai;Sarang Burung Danau;01/08/2023;01:24 WIB;NASA-MODIS;High;147036.0;10912335.0;Kalimantan;sambas;24.3;33.4;28.4;;1.0
Kalimantan Barat;SAMBAS;Semparuk;Sepinggan;01/08/2023;01:24 WIB;NASA-MODIS;High;109299.0;10911716.0;Kalimantan;sambas;24.3;33.4;28.4;;1.0
Kalimantan Barat;SAMBAS;Paloh;Temajuk;01/08/2023;13:44 WIB;NASA-MODIS;High;194901.0;10945328.0;Kalimantan;sambas;24.3;33.4;28.4;;1.0
Kalimantan Barat;SAMBAS;Teluk Keramat;Tri Mandayan;01/08/2023;01:24 WIB;NASA-MODIS;High;146991.0;10912782.0;Kalimantan;sambas;24.3;33.4;28.4;;1.0
Kalimantan Barat;KETAPANG;Kendawangan;Bangkal Serai;03/08/2023;13:37 WIB;NASA-NOAA20;High;-233005.0;11055733.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;MELAWI;Menukung;Batu Badak;03/08/2023;13:29 WIB;NASA-MODIS;High;-0.42548;1122296.0;Kalimantan;melawi;22.6;34.2;27.5;6.6;1.0
Kalimantan Barat;KETAPANG;Hulu Sungai;Batu Lapis;03/08/2023;13:29 WIB;NASA-MODIS;High;-1287.0;11079246.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Hulu Sungai;Beginci Darat;03/08/2023;13:37 WIB;NASA-NOAA20;High;-134904.0;11104089.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Sungai Melayu Rayak;Jairan Jaya;03/08/2023;13:37 WIB;NASA-NOAA20;High;-175847.0;1104405.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Tumbang Titi;Jelayan;03/08/2023;13:37 WIB;NASA-NOAA20;High;-177602.0;11065588.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Nanga Tayap;Kayung Tuhe;03/08/2023;13:29 WIB;NASA-MODIS;High;-157234.0;11067188.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Jelai Hulu;Kusik Batu Lapu;03/08/2023;13:29 WIB;NASA-MODIS;High;-203764.0;11088732.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;SINTANG;Kayan Hulu;Landau Bara;03/08/2023;13:37 WIB;NASA-NOAA20;High;-0.11911;11209407.0;Kalimantan;sintang;22.2;33.6;27.2;27.4;0.0
Kalimantan Barat;SINTANG;Serawai;Mensulung Bio;03/08/2023;13:37 WIB;NASA-NOAA20;High;-0.23303;11261018.0;Kalimantan;sintang;22.2;33.6;27.2;27.4;0.0
Kalimantan Barat;KETAPANG;Pemahan;Muara Gerunggang;03/08/2023;13:29 WIB;NASA-MODIS;High;-167659.0;11052111.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Masau;03/08/2023;13:29 WIB;NASA-MODIS;High;-0.16076;1123427.0;Kalimantan;sintang;22.2;33.6;27.2;27.4;0.0
Kalimantan Barat;SINTANG;Serawai;Nanga Segulang;03/08/2023;13:29 WIB;NASA-MODIS;High;-0.418;11248053.0;Kalimantan;sintang;22.2;33.6;27.2;27.4;0.0
Kalimantan Barat;KETAPANG;Nanga Tayap;Nanga Tayap;03/08/2023;13:29 WIB;NASA-MODIS;High;-159407.0;11052142.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Ungai;03/08/2023;13:37 WIB;NASA-NOAA20;High;-0.10174;11209145.0;Kalimantan;sintang;22.2;33.6;27.2;27.4;0.0
Kalimantan Barat;KETAPANG;Pemahan;Pebihingan;03/08/2023;13:37 WIB;NASA-NOAA20;High;-172268.0;1105778.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Marau;Pelanjau Jaya;03/08/2023;13:29 WIB;NASA-MODIS;High;-224844.0;11064088.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Manis Mata;Pelempangan;03/08/2023;13:37 WIB;NASA-NOAA20;High;-218899.0;1110371.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Utara;BULUNGAN;Tanjung Palas Utara;Ruhui Rahayu;03/08/2023;11:57 WIB;NASA-NOAA20;Medium;308197.0;11725809.0;Kalimantan;bulungan;25.4;36.0;29.1;;1.0
Kalimantan Barat;KETAPANG;Marau;Runjai Jaya;03/08/2023;13:37 WIB;NASA-NOAA20;High;-209708.0;11083342.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;KETAPANG;Nanga Tayap;Siantau Raya;03/08/2023;13:29 WIB;NASA-MODIS;High;-166641.0;11052867.0;Kalimantan;ketapang;22.9;34.0;27.6;7.0;3.0
Kalimantan Barat;MELAWI;Menukung;Nanga Mawang Mentatai;04/08/2023;13:20 WIB;NASA-NOAA20;High;-0.43716;11230538.0;Kalimantan;melawi;24.5;34.8;29.1;;2.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Ungai;04/08/2023;13:20 WIB;NASA-NOAA20;High;-0.04364;1121349.0;Kalimantan;sintang;22.6;34.4;28.4;0.0;1.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Sekucing Labai;04/08/2023;13:20 WIB;NASA-NOAA20;High;-0.48219;11032746.0;Kalimantan;ketapang;24.4;34.6;29.7;0.0;4.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Balai Pinang Hulu;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.63392;11032059.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;MELAWI;Tanah Pinoh;Bata Luar;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.86112;11144871.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;MELAWI;Ella Hilir;Bemban Permai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.5916;11204284.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;MELAWI;Tanah Pinoh Barat;Bukit Raya;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.7313;11148237.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;SINTANG;Kayan Hulu;Buluh Merindu;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.04611;11212548.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;SINTANG;Ambalau;Deme;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.18299;11302891.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;MELAWI;Tanah Pinoh Barat;Durian Jaya;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.8288;11144949.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;MELAWI;Ella Hilir;Jabai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.69134;11199336.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;KETAPANG;Nanga Tayap;Kayung Tuhe;05/08/2023;13:14 WIB;NASA-MODIS;High;-157446.0;11061681.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;SINTANG;Ambalau;Kepala Jungai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.01456;11298302.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;MELAWI;Tanah Pinoh;Keranjik;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.83789;11154198.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Kualan Hilir;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.63568;11030821.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;MELAWI;Menukung;Lihai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.397;11218104.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Merawa;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.48432;11044901.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Mungguk Lawang;05/08/2023;13:16 WIB;NASA-MODIS;High;0.6434;1116666.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;KETAPANG;Tumbang Titi;Nanga Kelampai;05/08/2023;13:14 WIB;NASA-MODIS;High;-188511.0;11052907.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;MELAWI;Ella Hilir;Nanga Kempangai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.61763;11212633.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;MELAWI;Menukung;Nanga Mawang Mentatai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.44623;11235136.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;MELAWI;Ella Hilir;Nanga Nyuruh;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.52364;1120774.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;SINTANG;Serawai;Nanga Segulang;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.42344;11244483.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;KETAPANG;Nanga Tayap;Nanga Tayap;05/08/2023;21:52 WIB;NASA-MODIS;High;-151551.0;11046952.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Tebidah;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.14434;11208699.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;SINTANG;Kayan Hulu;Nanga Ungai;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.0447;11213522.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Padung Kumang;05/08/2023;13:16 WIB;NASA-MODIS;High;0.71006;11169315.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Paoh Concong;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.68737;11039108.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;KETAPANG;Tumbang Titi;Segar Wangi;05/08/2023;13:14 WIB;NASA-MODIS;High;-18798.0;11053373.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;SINTANG;Kayan Hilir;Sungai Buaya;05/08/2023;13:16 WIB;NASA-MODIS;High;0.08922;11198469.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;SINTANG;Kayan Hilir;Sungai Sintang;05/08/2023;13:16 WIB;NASA-MODIS;High;0.10564;11203197.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;SINTANG;Kayan Hulu;Tapang Manua;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.15994;11241743.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;KETAPANG;Jelai Hulu;Teluk Runjai;05/08/2023;13:14 WIB;NASA-MODIS;High;-199862.0;11079475.0;Kalimantan;ketapang;24.9;34.2;28.4;0.0;3.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Tirta Karya;05/08/2023;13:16 WIB;NASA-MODIS;High;0.67792;11160507.0;Kalimantan;sintang;21.8;34.6;27.7;0.0;1.0
Kalimantan Barat;MELAWI;Sayan;Tumbak Raya;05/08/2023;13:16 WIB;NASA-MODIS;High;-0.80902;11167558.0;Kalimantan;melawi;23.6;35.0;28.9;;1.0
Kalimantan Barat;KETAPANG;Matan Hilir Selatan;Pesaguan Kanan;06/08/2023;01:36 WIB;NASA-MODIS;High;-20503.0;1102167.0;Kalimantan;ketapang;25.1;34.0;28.1;4.9;3.0
Kalimantan Barat;MELAWI;Belimbing;Balai Lagas;07/08/2023;13:01 WIB;NASA-MODIS;High;-0.58047;11139182.0;Kalimantan;melawi;22.6;34.0;27.5;0.2;2.0
Kalimantan Barat;MELAWI;Sokan;Gelata;07/08/2023;12:23 WIB;NASA-NOAA20;High;-10253.0;111.53;Kalimantan;melawi;22.6;34.0;27.5;0.2;2.0
Kalimantan Barat;MELAWI;Tanah Pinoh Barat;Harapan Jaya;07/08/2023;13:01 WIB;NASA-MODIS;High;-0.65896;11138828.0;Kalimantan;melawi;22.6;34.0;27.5;0.2;2.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Kualan Hilir;07/08/2023;13:01 WIB;NASA-MODIS;High;-0.59665;11019176.0;Kalimantan;ketapang;24.3;30.0;27.2;1.5;3.0
Kalimantan Barat;SINTANG;Kayan Hulu;Kebarau;08/08/2023;13:44 WIB;NASA-MODIS;High;-0.13536;11207146.0;Kalimantan;sintang;23.6;33.8;28.0;10.0;1.0
Kalimantan Barat;SINTANG;Ketungau Hulu;Mungguk Entawak;08/08/2023;13:44 WIB;NASA-MODIS;High;0.80467;11125607.0;Kalimantan;sintang;23.6;33.8;28.0;10.0;1.0
Kalimantan Barat;MELAWI;Belimbing;Nanga Entebah;08/08/2023;13:44 WIB;NASA-MODIS;High;-0.40926;11135986.0;Kalimantan;melawi;22.8;33.4;28.3;0.0;1.0
Kalimantan Barat;MELAWI;Belimbing;Nanga Pau;08/08/2023;13:44 WIB;NASA-MODIS;High;-0.43542;11142487.0;Kalimantan;melawi;22.8;33.4;28.3;0.0;1.0
Kalimantan Barat;KETAPANG;Simpang Dua;Semandang Kanan;08/08/2023;13:44 WIB;NASA-NOAA20;High;-0.72879;11037253.0;Kalimantan;ketapang;24.4;34.0;28.7;8888.0;3.0
Kalimantan Barat;KETAPANG;Simpang Hulu;Semandang Kiri;08/08/2023;13:44 WIB;NASA-NOAA20;High;-0.62032;11045532.0;Kalimantan;ketapang;24.4;34.0;28.7;8888.0;3.0
Kalimantan Barat;SINTANG;Ketungau Tengah;Senangan Jaya;08/08/2023;13:44 WIB;NASA-MODIS;High;0.69688;11154409.0;Kalimantan;sintang;23.6;33.8;28.0;10.0;1.0
Kalimantan Barat;KETAPANG;Tumbang Titi;Serengkah Kanan;08/08/2023;13:44 WIB;NASA-MODIS;High;-176735.0;11072659.0;Kalimantan;ketapang;24.4;34.0;28.7;8888.0;3.0
